event_id,schema_version,run_id,scenario,sequence_no,round_no,attempt_no,attack_type,target,payload,request_started_at,response_received_at,emitted_at,kafka_received_at,persisted_at,http_status,ground_truth_success,response_excerpt,error,dynamic_factor,impact,attack_complexity,risk_level,risk_score,kafka_topic,kafka_partition,kafka_offset,probe_latency_ms,pipeline_latency_ms,end_to_end_latency_ms
d9cd8fa6-7886-4854-a8b2-9add2c2b09da,2,full-20260713-205716,baseline_no_waf,1,1,1,brute_force,http://vuln-web:5000/login,123456,1783947462.7479947,1783947462.7699313,1783947462.770158,1783947462.8725483,1783947462.872551,401,0,"{""msg"":""invalid credentials"",""status"":""fail""}
",,0,7.0,1.0,INFO,0.0,evidence_topic,0,3,21.936655044555664,102.39291191101074,124.55630302429199
c2437e4e-f465-4e58-a1dd-a25d61e53eae,2,full-20260713-205716,baseline_no_waf,2,1,2,brute_force,http://vuln-web:5000/login,admin123,1783947462.8728757,1783947462.8780854,1783947462.8783863,1783947462.9012272,1783947462.90123,200,1,"{""msg"":""login successful"",""status"":""success""}
",,1,7.0,1.0,MEDIUM,7.8,evidence_topic,0,4,5.209684371948242,22.84383773803711,28.354406356811523
9fe664eb-c5e2-4534-a585-68feec4b40ae,2,full-20260713-205716,baseline_no_waf,3,1,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783947463.8977664,1783947463.9363842,1783947463.936434,1783947463.9534748,1783947463.9534807,200,1,"{""data"":[[""admin"",""administrator secret data""],[""guest"",""public guest data""]],""status"":""success""}
",,1,9.5,2.0,HIGH,8.9,evidence_topic,1,2,38.617849349975586,17.046689987182617,55.71436882019043
9ab69779-b1a3-4bfa-af6e-b7250c650a67,2,full-20260713-205716,baseline_no_waf,4,1,1,xss_attack,http://vuln-web:5000/feedback,<script>alert(1)</script>,1783947464.9552367,1783947464.9613166,1783947464.9613516,1783947464.9713876,1783947464.9713902,200,1,submitted feedback: <script>alert(1)</script>,,1,4.0,3.0,LOW,5.2,evidence_topic,2,5,6.079912185668945,10.038614273071289,16.153573989868164
3c4df68a-28bb-4881-b76b-7f1cf99269b1,2,full-20260713-205716,baseline_no_waf,5,1,1,padding_oracle,http://vuln-web:5000/crypto_check,00112233445566778899aabbccddeeff,1783947465.9744627,1783947465.9856904,1783947465.9857216,1783947466.0004535,1783947466.0004573,500,1,"{""msg"":""Padding Error"",""status"":""fail""}
",,1,8.5,6.0,MEDIUM,6.7,evidence_topic,0,5,11.227607727050781,14.735698699951172,25.994539260864258
34e50007-cb88-44be-874b-0b44dc9bfbd4,2,full-20260713-205716,baseline_no_waf,6,2,1,brute_force,http://vuln-web:5000/login,123456,1783947471.002452,1783947471.0127256,1783947471.0127792,1783947471.0220811,1783947471.0220838,401,0,"{""msg"":""invalid credentials"",""status"":""fail""}
",,0,7.0,1.0,INFO,0.0,evidence_topic,0,6,10.27369499206543,9.304523468017578,19.63186264038086
4c460700-b34e-4cb9-9640-5990070bdb7e,2,full-20260713-205716,baseline_no_waf,7,2,2,brute_force,http://vuln-web:5000/login,admin123,1783947471.0234473,1783947471.0363321,1783947471.0363705,1783947471.0468528,1783947471.0468595,200,1,"{""msg"":""login successful"",""status"":""success""}
",,1,7.0,1.0,MEDIUM,7.8,evidence_topic,0,7,12.884855270385742,10.48898696899414,23.412227630615234
0fea54eb-b6d6-4cfc-819a-f5512c44c695,2,full-20260713-205716,baseline_no_waf,8,2,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783947472.0493772,1783947472.0575564,1783947472.0576093,1783947472.0743017,1783947472.0743098,200,1,"{""data"":[[""admin"",""administrator secret data""],[""guest"",""public guest data""]],""status"":""success""}
",,1,9.5,2.0,HIGH,8.9,evidence_topic,2,11,8.179187774658203,16.70050621032715,24.9326229095459
5ea44ef6-6713-4b89-b7aa-c7b41bbd8a11,2,full-20260713-205716,baseline_no_waf,9,2,1,xss_attack,http://vuln-web:5000/feedback,<script>alert(1)</script>,1783947473.072982,1783947473.0796285,1783947473.0796652,1783947473.091775,1783947473.0917776,200,1,submitted feedback: <script>alert(1)</script>,,1,4.0,3.0,LOW,5.2,evidence_topic,0,8,6.646394729614258,12.11237907409668,18.795490264892578
1f85cff2-c13b-430a-b755-daa43c217600,2,full-20260713-205716,baseline_no_waf,10,2,1,padding_oracle,http://vuln-web:5000/crypto_check,00112233445566778899aabbccddeeff,1783947474.0975325,1783947474.1156826,1783947474.115739,1783947474.1322463,1783947474.1322486,500,1,"{""msg"":""Padding Error"",""status"":""fail""}
",,1,8.5,6.0,MEDIUM,6.7,evidence_topic,1,3,18.15009117126465,16.509532928466797,34.716129302978516
ac7110b3-3e15-4199-b2db-16d6f02fb8ac,2,full-20260713-205716,baseline_no_waf,11,3,1,brute_force,http://vuln-web:5000/login,123456,1783947479.134648,1783947479.143919,1783947479.1439865,1783947479.1576104,1783947479.1576164,401,0,"{""msg"":""invalid credentials"",""status"":""fail""}
",,0,7.0,1.0,INFO,0.0,evidence_topic,0,11,9.270906448364258,13.629913330078125,22.968292236328125
36a06a85-bff2-43aa-98f6-014fc825e023,2,full-20260713-205716,baseline_no_waf,12,3,2,brute_force,http://vuln-web:5000/login,admin123,1783947479.1587594,1783947479.1669197,1783947479.16694,1783947479.1753876,1783947479.1753898,200,1,"{""msg"":""login successful"",""status"":""success""}
",,1,7.0,1.0,MEDIUM,7.8,evidence_topic,0,12,8.16035270690918,8.449792861938477,16.63041114807129
